dialogue_id,donation_raw,age,sex,extrovert,agreeable,conscientious,neurotic,open
20180904-045349_715_live,0.0,50.0,Female,3.2,4.0,3.8,2.0,3.2
20180904-024226_703_live,0.05,28.0,Male,2.8,3.4,3.8,3.0,5.0
20180904-073734_888_live,0.0,35.0,Female,4.0,3.0,3.6,2.6,3.2
20180904-043300_214_live,0.0,36.0,Male,1.4,2.4,4.4,3.8,3.6
20180904-030739_178_live,0.0,35.0,Female,2.2,4.0,3.4,2.8,3.0
20180904-004818_580_live,0.25,35.0,Female,3.2,5.0,4.8,1.8,4.6
20180904-025026_901_live,0.3,36.0,Female,3.4,4.0,4.0,3.8,3.6
20180904-012828_299_live,0.0,24.0,Female,1.6,3.2,3.6,3.0,2.6
20180904-032932_423_live,1.0,53.0,Female,3.8,4.8,5.0,3.2,3.6
20180904-012448_306_live,0.1,30.0,Male,3.2,4.2,4.2,3.0,4.2
20180828-151914_101_live,1.0,43.0,Female,3.8,3.8,3.8,3.4,3.0
20180828-165639_960_live,0.0,37.0,Male,3.8,4.0,3.6,2.0,3.4
20180825-112434_860_live,0.0,25.0,Female,3.8,5.0,5.0,3.6,4.4
20180825-053711_81_live,1.0,69.0,Male,3.2,4.6,4.6,1.8,3.4
20180825-050306_247_live,0.0,26.0,Male,2.8,3.6,3.4,3.0,2.4
20180825-080131_220_live,0.15,33.0,Female,2.8,4.6,4.6,3.4,4.2
20180825-071459_643_live,0.15,42.0,Male,4.6,4.4,4.4,1.8,3.8
20180825-081502_364_live,0.0,29.0,Male,4.0,4.0,4.0,1.0,3.8
20180825-075451_984_live,0.1,34.0,Female,4.2,4.2,3.8,1.6,4.6
20180825-073629_433_live,0.0,29.0,Male,4.0,4.0,4.0,1.0,3.8
20180825-070515_947_live,0.25,42.0,Female,3.0,3.6,5.0,2.0,3.4
20180825-062219_874_live,0.0,29.0,Male,3.2,3.4,3.4,3.8,3.2
20180825-044252_786_live,0.05,40.0,Male,4.0,5.0,4.2,2.2,3.2
20180825-075627_48_live,0.0,45.0,Male,4.2,4.4,4.4,1.6,4.0
20180825-073813_141_live,0.0,21.0,Female,1.2,5.0,4.8,5.0,2.2
20180825-073559_995_live,0.0,26.0,Male,3.8,4.0,4.0,2.0,3.8
20180825-065411_526_live,0.1,30.0,Male,3.8,4.8,4.2,2.6,3.6
20180825-084254_215_live,1.0,50.0,Female,3.2,4.0,3.8,2.0,3.2
20180825-081402_621_live,0.3,58.0,Female,2.8,4.6,4.2,2.0,4.0
20180825-043341_782_live,0.1,66.0,Female,2.8,4.0,4.4,1.2,4.8
20180825-075630_493_live,1.0,72.0,Male,2.8,4.2,4.2,2.4,3.8
20180825-065106_23_live,0.1,43.0,Male,2.8,3.8,4.2,2.2,4.0
20180825-111850_152_live,0.0,29.0,Male,4.0,4.0,4.0,1.0,3.8
20180825-075647_663_live,0.0,27.0,Male,3.0,3.0,3.0,3.0,3.0
20180825-064811_939_live,0.05,22.0,Female,3.8,3.8,3.8,2.4,3.6
20180825-054948_621_live,0.3,49.0,Female,2.4,3.8,5.0,2.0,4.0
20180825-044048_639_live,0.05,28.0,Female,3.6,4.0,3.6,1.6,4.0
20180825-085214_779_live,0.0,27.0,Male,3.0,3.0,3.0,3.0,3.0
20180825-085908_923_live,0.0,47.0,Female,5.0,4.4,5.0,2.8,4.0
20180825-080436_824_live,10.0,60.0,Female,3.4,5.0,3.8,2.2,3.6
20180825-080802_964_live,1.0,64.0,Female,3.2,4.0,4.0,2.8,3.2
20180825-075844_569_live,0.25,30.0,Male,2.4,4.2,4.4,2.0,4.2
20180825-071727_819_live,0.15,47.0,Male,2.8,2.8,4.2,1.8,2.4
20180825-060212_445_live,0.1,50.0,Male,1.8,3.8,2.2,3.0,4.6
20180825-060251_387_live,0.15,33.0,Female,3.8,3.8,3.4,4.0,3.6
20180825-063117_677_live,0.2,24.0,Male,3.2,4.8,4.6,2.4,4.2
20180825-063009_943_live,0.0,40.0,Male,1.8,3.0,3.8,3.4,3.4
20180825-052611_640_live,0.0,33.0,Male,4.0,4.2,5.0,2.0,4.6
20180825-090251_7_live,0.0,23.0,Female,2.8,2.8,2.8,2.4,2.4
20180825-055321_232_live,0.1,50.0,Female,3.2,4.0,3.8,2.0,3.2
20180825-083430_379_live,0.0,27.0,Male,3.0,3.0,3.0,3.0,3.0
20180825-102556_172_live,1.0,51.0,Female,3.6,2.4,2.8,3.6,4.2
20180825-082635_438_live,0.15,33.0,Male,2.4,3.4,3.4,2.4,3.2
20180825-083745_516_live,0.15,31.0,Female,5.0,5.0,4.8,1.0,4.2
20180825-043516_619_live,0.0,53.0,Female,5.0,4.2,3.4,2.6,4.2
20180825-045559_409_live,0.0,40.0,Male,4.0,4.0,4.0,2.0,4.0
20180825-085709_930_live,0.1,31.0,Male,3.8,4.4,4.4,1.2,3.8
20180825-075611_866_live,0.05,34.0,Male,4.6,4.0,4.0,1.2,3.4
20180825-043229_970_live,0.0,37.0,Female,4.2,5.0,5.0,3.8,4.2
20180825-143255_249_live,0.05,28.0,Female,5.0,5.0,4.8,1.2,4.4
20180825-100043_534_live,0.1,45.0,Female,3.6,3.4,4.6,1.6,3.4
20180825-064838_945_live,0.0,24.0,Male,2.6,3.6,2.6,1.8,3.2
20180825-051212_932_live,7.0,24.0,Male,4.0,3.6,3.2,2.4,2.0
20180825-112615_516_live,0.0,27.0,Male,3.0,3.8,4.4,4.6,3.4
20180825-075658_709_live,0.0,52.0,Female,3.2,5.0,5.0,2.6,4.0
20180825-044358_663_live,0.0,27.0,Male,3.2,3.4,3.4,3.2,3.0
20180825-074318_984_live,0.3,50.0,Female,2.0,4.8,5.0,1.4,3.4
20180825-062128_451_live,0.5,31.0,Female,3.0,4.6,4.0,2.4,3.8
20180825-210735_192_live,0.1,29.0,Female,3.8,4.6,4.4,2.8,3.2
20180825-070900_49_live,0.25,57.0,Male,3.8,4.6,4.0,1.2,4.2
20180825-081859_875_live,0.1,37.0,Female,5.0,5.0,5.0,2.2,3.4
20180825-125810_869_live,0.05,43.0,Female,5.0,5.0,4.6,3.4,3.6
20180825-090032_956_live,0.0,30.0,Female,4.0,4.8,4.8,2.2,4.4
20180825-084657_775_live,0.0,23.0,Female,2.8,2.8,2.8,2.4,2.4
20180825-061105_792_live,0.15,40.0,Female,4.2,4.2,3.2,3.2,3.6
20180825-091558_618_live,0.0,36.0,Female,3.0,4.6,3.4,1.2,3.6
20180825-044613_233_live,0.5,45.0,Male,3.0,3.0,3.0,3.0,3.0
20180825-075913_208_live,0.0,25.0,Female,4.0,4.0,4.0,2.0,4.0
20180825-070857_925_live,0.0,25.0,Female,4.0,4.0,4.0,2.0,4.0
20180825-055034_34_live,0.0,41.0,Male,3.4,3.4,4.2,1.6,3.8
20180825-092012_333_live,0.0,35.0,Female,4.6,5.0,4.0,2.2,5.0
20180825-042845_49_live,0.3,57.0,Female,2.6,3.2,4.0,2.2,3.6
20180825-071316_761_live,0.0,21.0,Male,2.6,3.6,2.6,3.4,4.0
20180825-060648_863_live,2.0,34.0,Female,4.0,4.6,3.4,2.2,4.4
20180825-053544_897_live,0.0,33.0,Female,3.4,4.4,4.4,3.0,3.8
20180825-055427_625_live,0.3,49.0,Male,3.4,4.2,3.6,1.2,3.0
20180825-064038_102_live,0.0,28.0,Male,3.0,3.0,3.0,3.0,3.0
20180825-090446_585_live,0.0,27.0,Male,3.0,3.0,3.0,3.0,3.0
20180825-064001_264_live,0.2,31.0,Female,4.4,5.0,4.4,5.0,3.8
20180903-165804_344_live,0.0,43.0,Female,5.0,5.0,5.0,2.0,3.8
20180903-111245_955_live,1.0,21.0,Male,2.4,2.6,4.4,3.4,3.6
20180903-132332_521_live,0.0,54.0,Female,2.8,4.2,3.6,3.2,3.0
20180903-103939_512_live,0.02,43.0,Female,5.0,4.8,2.2,4.2,3.2
20180903-134122_237_live,0.2,33.0,Female,3.8,5.0,4.4,2.2,4.2
20180903-145436_470_live,0.0,30.0,Female,3.2,4.0,4.0,2.0,4.0
20180903-224911_659_live,1.0,44.0,Male,3.6,3.4,3.4,3.4,3.4
20180903-094545_472_live,0.0,44.0,Female,3.8,3.6,3.6,3.4,3.6
20180903-163331_887_live,2.0,45.0,Male,2.0,2.4,3.4,2.0,4.2
20180903-103835_253_live,0.0,37.0,Female,1.0,4.8,4.4,2.8,3.6
20180826-175233_4_live,0.0,35.0,Male,4.0,5.0,4.6,1.6,4.4
20180826-175853_545_live,0.1,30.0,Female,2.0,3.4,3.4,2.0,3.6
20180826-044626_167_live,0.0,45.0,Male,3.0,3.0,3.0,3.0,3.0
20180826-013831_953_live,1.0,37.0,Male,4.0,4.2,5.0,2.4,4.6
20180826-073858_133_live,0.3,48.0,Female,3.0,3.8,5.0,2.2,3.8
20180826-193546_146_live,0.0,41.0,Female,3.2,3.0,4.4,3.6,4.2
20180826-173836_197_live,0.0,24.0,Male,2.6,3.6,2.6,1.8,3.2
20180826-070022_438_live,0.05,36.0,Female,1.0,5.0,2.8,1.0,4.6
20180826-174957_757_live,0.2,30.0,Female,3.4,4.8,5.0,2.8,3.8
20180826-180631_700_live,0.15,45.0,Female,3.8,5.0,4.2,2.2,4.0
20180826-064412_288_live,0.0,30.0,Female,3.2,4.0,4.0,2.0,4.0
20180826-061846_932_live,0.3,31.0,Female,2.4,2.4,3.4,2.8,3.4
20180826-174459_637_live,0.0,30.0,Male,2.2,2.6,4.2,1.6,3.4
20180826-073320_803_live,0.0,35.0,Male,4.2,4.6,4.4,1.4,3.6
20180826-061949_863_live,0.0,23.0,Female,4.8,4.2,4.2,3.0,3.6
20180826-063853_537_live,0.05,34.0,Male,3.4,3.4,3.4,4.2,4.2
20180826-021724_326_live,1.0,34.0,Female,1.4,3.4,4.6,4.6,4.2
20180826-220528_999_live,0.3,27.0,Female,3.8,4.0,4.2,2.6,3.6
20180826-175705_624_live,0.0,24.0,Male,2.6,3.6,2.6,1.8,3.2
20180826-054028_444_live,1.0,51.0,Female,4.4,5.0,4.4,2.2,3.6
20180826-062755_702_live,0.05,36.0,Female,1.0,5.0,2.8,1.0,4.6
20180826-181903_395_live,0.0,66.0,Female,3.0,3.8,3.4,3.6,2.2
20180826-020520_686_live,0.0,22.0,Male,3.0,3.0,3.0,3.0,3.0
20180826-180314_928_live,0.0,19.0,Female,2.2,4.4,4.0,2.4,3.4
20180826-190151_488_live,0.0,30.0,Female,2.8,4.8,4.2,3.8,4.8
20180826-174120_426_live,0.15,39.0,Male,4.2,5.0,5.0,2.2,4.4
20180826-013529_897_live,5.0,34.0,Female,1.4,3.4,4.6,4.6,4.2
20180826-080505_231_live,0.0,31.0,Male,2.4,3.0,3.8,3.2,2.8
20180826-062356_655_live,0.0,56.0,Female,3.4,5.0,5.0,1.2,3.4
20180826-064104_677_live,0.0,37.0,Female,1.0,4.2,5.0,3.4,5.0
20180826-204907_535_live,0.3,21.0,Female,3.0,5.0,4.0,4.6,5.0
20180826-072151_442_live,5.0,31.0,Male,3.8,4.4,4.4,1.2,3.8
20180826-175706_443_live,0.0,31.0,Male,4.6,5.0,5.0,1.6,4.4
20180826-174933_275_live,0.0,39.0,Male,2.8,3.4,4.0,3.4,3.0
20180826-184037_209_live,0.1,26.0,Male,3.8,4.2,3.8,1.2,3.4
20180826-061500_476_live,0.0,30.0,Male,3.0,3.6,3.6,2.0,4.0
20180826-203821_83_live,0.1,23.0,Male,2.8,2.4,3.0,4.4,3.2
20180826-052222_969_live,0.3,33.0,Female,2.8,4.6,4.6,3.4,4.2
20180826-182048_519_live,0.0,49.0,Male,4.6,4.8,3.6,4.4,4.8
20180826-055352_947_live,0.0,30.0,Female,3.4,5.0,4.0,3.2,3.6
20180826-210609_644_live,0.05,37.0,Female,3.0,5.0,5.0,1.4,4.2
20180826-180009_407_live,0.0,21.0,Female,2.6,4.4,3.6,4.4,3.4
20180826-175426_937_live,0.5,61.0,Female,3.6,4.4,4.2,1.6,3.8
20180826-181249_805_live,0.0,39.0,Male,2.4,3.0,4.0,2.0,3.6
20180826-212714_597_live,0.15,22.0,Female,2.6,3.0,3.0,3.0,3.0
20180826-194841_403_live,0.3,34.0,Female,1.8,4.0,4.2,4.0,4.0
20180826-180554_582_live,0.0,23.0,Female,2.8,2.8,2.8,2.4,2.4
20180826-062736_188_live,0.0,35.0,Male,3.4,4.8,4.6,2.0,3.4
20180826-054344_65_live,0.0,57.0,Female,3.2,4.2,3.6,2.0,3.2
20180826-060201_521_live,0.0,30.0,Female,3.2,4.0,4.0,2.0,4.0
20180826-220838_141_live,0.0,41.0,Female,3.2,3.0,4.4,3.6,4.2
20180826-053845_531_live,0.3,61.0,Female,2.2,4.8,3.4,3.0,4.2
20180826-033211_245_live,0.05,24.0,Male,3.2,4.8,3.6,2.0,3.8
20180826-053811_708_live,0.2,33.0,Female,4.0,4.2,4.0,4.0,3.2
20180826-182047_49_live,0.0,37.0,Female,5.0,5.0,5.0,2.2,3.4
20180826-181742_58_live,0.0,25.0,Female,2.8,3.4,2.8,3.4,4.0
20180826-192022_0_live,0.0,31.0,Female,3.8,4.2,3.2,3.0,3.6
20180826-054232_684_live,0.2,61.0,Female,3.6,4.4,4.2,1.6,3.8
20180826-043247_456_live,0.0,27.0,Female,4.0,4.8,3.0,3.0,4.8
20180826-040651_411_live,0.01,56.0,Female,3.0,2.4,3.0,2.8,2.4
20180826-065245_39_live,0.1,42.0,Female,3.0,3.6,5.0,2.0,3.4
20180826-184708_183_live,0.0,31.0,Male,2.4,4.4,4.2,3.4,4.4
20180826-082717_200_live,0.1,33.0,Male,5.0,4.6,5.0,1.0,4.2
20180826-013036_595_live,0.0,47.0,Male,3.8,4.0,5.0,1.0,4.0
20180826-070323_186_live,0.0,23.0,Female,3.2,3.6,3.6,2.2,2.8
20180826-181951_904_live,0.05,31.0,Male,3.2,4.2,3.8,1.8,3.6
20180826-011431_343_live,0.0,30.0,Male,3.2,2.8,4.8,1.0,5.0
20180826-045748_926_live,0.0,32.0,Male,3.2,4.8,3.6,3.4,4.6
20180826-181020_331_live,0.0,27.0,Male,3.0,3.0,3.0,3.0,3.0
20180826-175345_318_live,0.0,24.0,Female,4.6,3.6,2.8,3.0,4.0
20180826-023807_40_live,0.25,37.0,Other,3.6,4.8,3.8,2.0,4.6
20180826-182522_887_live,0.2,40.0,Female,4.2,4.4,4.4,2.8,4.4
20180826-180300_663_live,0.0,42.0,Male,3.0,3.0,3.0,3.0,3.0
20180723-042226_724_live,0.5,32.0,Male,2.4,3.0,4.2,1.2,3.6
20180723-072435_196_live,0.01,29.0,Female,5.0,5.0,5.0,3.6,4.0
20180723-034654_121_live,0.0,26.0,Female,3.0,3.4,2.8,3.0,3.0
20180723-075339_567_live,0.0,31.0,Female,3.6,4.0,4.0,3.0,3.6
20180723-042421_113_live,0.0,35.0,Male,2.2,3.4,4.8,2.6,3.0
20180723-031022_254_live,1.0,26.0,Male,3.2,3.4,3.2,3.0,3.4
20180723-100855_385_live,0.0,20.0,Male,3.2,2.8,3.6,3.6,4.4
20180723-040634_575_live,1.25,24.0,Male,2.4,3.6,4.4,1.6,3.8
20180723-073352_280_live,0.05,30.0,Male,4.0,3.4,4.4,3.0,4.0
20180723-070336_48_live,0.0,31.0,Male,4.2,4.2,4.0,2.4,3.8
20180723-093509_578_live,1.0,34.0,Male,3.2,3.2,3.4,3.2,3.2
20180723-034109_263_live,1.0,34.0,Male,3.8,4.0,4.0,1.6,3.6
20180723-042342_809_live,0.0,29.0,Male,1.0,4.6,5.0,1.0,4.6
20180723-025150_733_live,0.2,36.0,Male,3.2,3.2,3.4,3.4,3.8
20180723-064603_378_live,0.0,40.0,Female,1.4,2.2,4.0,2.8,2.2
20180723-061928_535_live,100.0,25.0,Male,2.8,3.2,3.4,3.0,2.8
20180723-101530_805_live,0.5,59.0,Female,2.8,4.0,3.4,2.6,3.4
20180723-091102_738_live,0.0,30.0,Male,4.0,3.4,4.4,3.0,4.0
20180723-052203_936_live,0.5,43.0,Female,4.2,4.4,4.0,3.2,3.2
20180723-103902_895_live,0.0,37.0,Female,1.8,1.0,1.8,4.2,1.0
20180723-080248_452_live,0.01,30.0,Male,4.0,3.4,4.4,3.0,4.0
20180723-091419_371_live,0.25,23.0,Female,3.2,3.6,3.6,2.2,2.8
20180723-062856_180_live,0.1,30.0,Male,4.0,3.4,4.4,3.0,4.0
20180723-094242_630_live,1.0,41.0,Female,3.2,5.0,4.2,2.6,4.4
20180723-100140_767_live,0.0,34.0,Female,1.8,4.8,4.4,1.8,3.2
20180723-080158_200_live,0.0,24.0,Male,2.6,3.2,3.6,1.0,3.4
20180723-082451_335_live,0.0,37.0,Female,1.8,1.0,1.8,4.2,1.0
20180723-120746_371_live,0.0,26.0,Female,3.6,4.8,5.0,1.2,3.8
20180723-055038_776_live,0.5,35.0,Male,3.4,2.6,4.0,3.4,3.4
20180723-091508_49_live,0.0,18.0,Male,4.4,4.2,3.4,2.4,3.2
20180723-112016_503_live,0.01,34.0,Male,4.6,4.0,2.6,3.4,4.8
20180723-121545_265_live,0.0,37.0,Female,1.8,1.0,1.8,4.2,1.0
20180723-073908_711_live,0.5,32.0,Female,2.2,4.0,4.0,2.4,3.2
20180723-113128_856_live,2.0,20.0,Male,3.4,3.0,4.2,3.0,4.2
20180723-114415_254_live,0.1,75.0,Female,3.8,3.8,3.6,3.0,4.0
20180723-122005_335_live,0.0,36.0,Female,2.6,3.6,4.0,3.4,3.8
20180723-074147_879_live,0.0,29.0,Female,5.0,5.0,5.0,3.6,4.0
20180723-113700_19_live,1.0,44.0,Female,3.2,4.4,4.4,2.4,4.0
20180723-042344_940_live,0.0,,,3.4,2.8,2.8,3.8,3.8
20180723-105210_403_live,0.0,36.0,Male,3.2,3.8,3.8,1.2,3.6
20180723-044617_32_live,0.5,28.0,Male,3.6,3.2,3.8,4.0,3.6
20180719-204358_391_live,0.0,28.0,Male,5.0,5.0,4.8,1.6,5.0
20180719-202443_897_live,1.0,38.0,Male,3.8,4.0,4.4,2.2,3.8
20180719-211301_463_live,0.0,23.0,Female,1.6,4.0,3.8,3.8,3.0
20180719-165941_192_live,0.0,,,1.2,3.2,3.8,2.2,3.6
20180719-122534_38_live,0.5,35.0,Female,2.8,4.4,4.2,3.4,3.6
20180719-211846_176_live,0.0,32.0,Male,2.4,3.8,2.0,1.0,4.0
20180719-120436_413_live,0.0,37.0,Female,1.8,1.0,1.8,4.2,1.0
20180719-175233_833_live,0.05,25.0,Male,1.4,4.0,4.2,3.2,2.4
20180719-210146_172_live,0.0,20.0,Female,4.0,5.0,4.2,3.6,4.8
20180719-181845_211_live,0.0,37.0,Female,1.8,1.0,1.8,4.2,1.0
20180719-211253_768_live,0.5,41.0,Female,3.4,4.6,5.0,3.2,4.8
20180719-182453_233_live,0.0,24.0,Female,2.4,4.2,3.6,2.8,4.4
20180902-220100_244_live,0.5,24.0,Male,4.2,3.6,2.4,4.0,2.8
20180902-222227_892_live,2.0,39.0,Male,4.2,5.0,5.0,2.2,4.4
20180902-215344_542_live,2.0,30.0,Male,3.0,3.6,3.2,3.0,3.0
20180824-120504_474_live,0.0,38.0,Female,5.0,5.0,5.0,1.0,5.0
20180824-031232_169_live,0.02,36.0,Male,2.4,2.8,3.4,3.2,3.6
20180824-020419_695_live,0.85,27.0,Male,2.0,4.4,3.4,3.6,4.4
20180824-130121_505_live,0.5,55.0,Female,4.2,5.0,4.0,1.8,4.6
20180824-121026_498_live,0.0,28.0,Male,4.0,3.2,3.8,2.2,4.0
20180824-023730_85_live,0.0,45.0,Female,2.2,2.2,3.2,3.0,2.4
20180824-120314_637_live,0.15,34.0,Female,2.8,4.4,3.4,3.8,4.0
20180824-022557_24_live,0.0,31.0,Female,3.2,3.2,3.2,3.6,3.6
20180824-015242_301_live,0.0,33.0,Female,3.0,3.0,3.4,3.0,3.0
20180824-022709_450_live,0.0,22.0,Male,3.8,3.8,3.8,3.0,4.2
20180823-020508_596_live,0.0,32.0,Female,4.0,4.8,4.6,2.4,4.6
20180829-082113_449_live,0.5,30.0,Male,1.4,4.2,4.0,2.6,3.4
20180829-084042_694_live,0.0,60.0,Male,3.2,4.0,4.6,1.0,4.0
20180808-052501_689_live,10.0,,,3.6,2.8,3.4,3.0,3.4
20180808-015530_429_live,0.6,54.0,Male,1.4,2.6,3.6,2.2,3.6
20180808-024552_152_live,0.0,35.0,Male,1.0,1.0,4.6,1.0,1.4
20180808-062753_12_live,0.0,68.0,Female,2.6,2.6,3.4,2.8,3.6
20180808-034448_815_live,0.0,31.0,Male,3.2,3.2,2.8,3.2,2.6
20180808-035715_390_live,0.0,49.0,Male,3.4,4.6,3.6,2.8,3.6
20180808-064649_236_live,0.0,48.0,Female,4.2,4.4,3.8,3.2,4.2
20180808-042339_620_live,0.0,32.0,Male,2.4,3.0,3.0,2.6,2.8
20180808-081317_142_live,0.0,35.0,Male,4.2,4.6,4.4,1.4,3.6
20180808-004203_194_live,0.0,46.0,Male,1.0,1.8,5.0,5.0,4.2
20180808-030338_328_live,0.0,32.0,Male,2.4,3.0,3.0,2.6,2.8
20180808-001810_178_live,0.0,34.0,Female,3.2,3.2,4.8,3.8,4.6
20180808-032124_114_live,0.0,43.0,Female,1.4,4.4,5.0,2.2,3.4
20180808-074917_388_live,0.0,38.0,Female,4.6,5.0,3.2,1.0,2.8
20180808-011341_389_live,0.5,22.0,Female,3.4,4.6,4.0,3.2,3.0
20180808-070517_921_live,2.0,29.0,Female,1.2,3.6,4.2,2.0,3.6
20180808-032545_201_live,0.0,36.0,Male,1.6,1.4,5.0,4.0,5.0
20180808-020257_457_live,1.0,45.0,Female,3.0,4.8,4.6,1.6,3.6
20180808-063034_444_live,0.0,41.0,Female,2.0,3.4,4.4,2.4,3.4
20180808-013755_350_live,2.0,27.0,Female,3.4,3.2,3.4,4.0,3.8
20180808-022730_384_live,0.0,38.0,Male,3.6,3.8,3.6,2.4,3.6
20180808-022005_838_live,0.0,67.0,Male,,,,,
20180808-043445_804_live,0.5,48.0,Female,1.6,4.0,3.6,4.4,3.6
20180808-033451_555_live,0.5,41.0,Female,2.8,4.0,5.0,3.4,4.8
20180808-034352_717_live,0.1,33.0,Female,3.8,4.0,4.2,1.8,4.0
20180808-021732_428_live,0.0,32.0,Male,2.4,3.0,3.0,2.6,2.8
20180808-032354_369_live,0.0,32.0,Male,2.4,3.0,3.0,2.6,2.8
20180808-050533_601_live,0.0,38.0,Male,2.8,4.4,5.0,1.6,4.2
20180808-075816_12_live,0.0,28.0,Male,2.6,3.2,3.4,3.6,3.2
20180808-035431_488_live,0.1,38.0,Female,3.4,4.8,3.4,2.2,3.4
20180808-030454_242_live,0.25,28.0,Male,4.4,4.6,4.2,2.0,4.0
20180808-075748_956_live,0.0,38.0,Female,5.0,5.0,5.0,1.0,5.0
20180808-011921_673_live,1.0,44.0,Female,1.8,4.4,5.0,3.8,4.2
20180808-065307_529_live,0.0,40.0,Female,1.4,2.2,4.0,2.8,2.2
20180808-064212_144_live,0.0,43.0,Male,3.0,4.4,4.0,2.8,3.8
20180808-032041_562_live,0.0,22.0,Female,2.8,3.8,2.4,3.0,3.4
20180808-040435_931_live,0.0,32.0,Male,2.4,3.0,3.0,2.6,2.8
20180827-021816_456_live,50.0,28.0,Female,3.0,3.0,3.4,2.4,3.4
20180827-033451_673_live,2.0,30.0,Male,3.2,3.4,3.6,2.6,2.6
20180827-033057_106_live,0.1,40.0,Female,3.0,4.0,4.2,3.8,5.0
20180827-032731_796_live,100.0,27.0,Male,3.6,3.8,3.4,3.2,3.8
20180827-035202_980_live,0.0,38.0,Male,3.2,3.4,3.2,3.2,2.6
20180827-032811_159_live,25.0,35.0,Male,3.2,3.4,3.2,3.6,3.6
20180827-050740_909_live,0.0,76.0,Male,1.0,3.8,2.2,1.8,3.6
20180827-051440_378_live,0.0,34.0,Female,3.4,3.2,3.4,3.0,3.4
20180827-025236_792_live,0.2,32.0,Male,3.4,3.4,4.2,2.6,3.6
20180827-033412_606_live,0.15,24.0,Female,1.6,3.2,3.6,3.0,2.6
20180827-043632_426_live,0.1,23.0,Male,3.4,4.2,3.4,2.0,3.2
20180827-041027_973_live,0.0,36.0,Female,2.8,4.6,3.6,2.4,3.8
20180827-030633_256_live,10.0,29.0,Male,3.6,3.6,3.2,3.4,3.8
20180827-041028_432_live,0.1,24.0,Female,3.2,4.0,3.4,3.0,3.8
20180827-024612_480_live,0.0,28.0,Male,3.6,3.0,3.8,2.4,4.4
20180827-004037_444_live,1.0,35.0,Male,3.4,3.6,3.0,3.6,3.2
20180827-053243_818_live,0.0,26.0,Male,3.0,3.2,3.6,1.4,3.4
20180827-034056_964_live,0.0,40.0,Male,3.0,4.0,4.0,2.2,2.4
20180827-004200_630_live,0.3,53.0,Female,3.2,4.8,5.0,1.6,4.8
20180827-034916_910_live,0.3,53.0,Female,3.8,4.8,4.0,2.4,4.2
20180827-032231_430_live,0.01,34.0,Male,3.4,3.4,3.4,4.2,4.2
20180717-200206_41_live,0.5,,,,,,,
